DOI,URL,Access_through_publisher,Year_of_publication,Publisher,DOI-prefix,Publisher_VLOOKUP,,,,,,,,
10.1007/s00776-014-0574-7,https://dx.doi.org/10.1007/s00776-014-0574-7,no,2014,Elsevier,10.1007,Springer-Verlag,,,,,,,,
10.1007/s00776-014-0612-5,https://dx.doi.org/10.1007/s00776-014-0612-5,no,2014,Elsevier,10.1007,Springer-Verlag,,,,,,,,
10.1007/s00784-013-1167-0,https://dx.doi.org/10.1007/s00784-013-1167-0,yes,2014,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s100169910016,https://dx.doi.org/10.1007/s100169910016,yes,2000,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s10072-011-0476-9,https://dx.doi.org/10.1007/s10072-011-0476-9,yes,2011,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s10194-011-0340-6,https://dx.doi.org/10.1007/s10194-011-0340-6,-,-,-,10.1007,Springer-Verlag,,,,,,,,
10.1007/s10237-014-0594-4,https://dx.doi.org/10.1007/s10237-014-0594-4,yes,2015,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s10237-015-0721-x,https://dx.doi.org/10.1007/s10237-015-0721-x,yes,2015,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s10238-010-0130-5,https://dx.doi.org/10.1007/s10238-010-0130-5,yes,2011,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s10334-011-0259-6,https://dx.doi.org/10.1007/s10334-011-0259-6,yes,2011,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s10336-005-0009-5,https://dx.doi.org/10.1007/s10336-005-0009-5,yes,2005,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s10409-015-0525-3,https://dx.doi.org/10.1007/s10409-015-0525-3,-,-,-,10.1007,Springer-Verlag,,,,,,,,
10.1007/s10439-015-1437-x,https://dx.doi.org/10.1007/s10439-015-1437-x,yes,2016,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s10460-010-9263-0,https://dx.doi.org/10.1007/s10460-010-9263-0,yes,2011,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s10460-011-9331-0,https://dx.doi.org/10.1007/s10460-011-9331-0,yes,2012,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s10460-014-9566-7,https://dx.doi.org/10.1007/s10460-014-9566-7,yes,2015,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s10460-015-9592-0,https://dx.doi.org/10.1007/s10460-015-9592-0,yes,2016,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s10484-009-9112-3,https://dx.doi.org/10.1007/s10484-009-9112-3,yes,2009,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s10484-015-9315-8,https://dx.doi.org/10.1007/s10484-015-9315-8,yes,2016,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s10529-016-2060-0,https://dx.doi.org/10.1007/s10529-016-2060-0,free from publisher,2016,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s10545-005-4483-y,https://dx.doi.org/10.1007/s10545-005-4483-y,yes,2005,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s10551-014-2287-4,https://dx.doi.org/10.1007/s10551-014-2287-4,yes,2015,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s10585-005-8115-6,https://dx.doi.org/10.1007/s10585-005-8115-6,yes,2005,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s10620-010-1416-x,https://dx.doi.org/10.1007/s10620-010-1416-x,yes,2011,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s10648-008-9096-1,https://dx.doi.org/10.1007/s10648-008-9096-1,yes,2009,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s10648-014-9284-0,https://dx.doi.org/10.1007/s10648-014-9284-0,yes,2014,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s10659-014-9496-z,https://dx.doi.org/10.1007/s10659-014-9496-z,yes,2015,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s10669-015-9577-y,https://dx.doi.org/10.1007/s10669-015-9577-y,yes,2016,Oxford University Press,10.1007,Springer-Verlag,,,,,,,,
10.1007/s10679-006-6981-7,https://dx.doi.org/10.1007/s10679-006-6981-7,yes,2006,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s10750-007-9052-y,https://dx.doi.org/10.1007/s10750-007-9052-y,yes,2007,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s10750-010-0481-7,https://dx.doi.org/10.1007/s10750-010-0481-7,yes,2011,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s10750-011-0866-2,https://dx.doi.org/10.1007/s10750-011-0866-2,yes,2011,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s10750-012-1255-1,https://dx.doi.org/10.1007/s10750-012-1255-1,yes,2013,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s10803-015-2371-3,https://dx.doi.org/10.1007/s10803-015-2371-3,yes,2015,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s10803-015-2541-3,https://dx.doi.org/10.1007/s10803-015-2541-3,yes,2016,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s10803-015-2556-9,https://dx.doi.org/10.1007/s10803-015-2556-9,yes,2016,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s10827-007-0050-x,https://dx.doi.org/10.1007/s10827-007-0050-x,yes,2008,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s10851-006-6865-7,https://dx.doi.org/10.1007/s10851-006-6865-7,yes,2006,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s10856-012-4828-7,https://dx.doi.org/10.1007/s10856-012-4828-7,yes,2013,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s10895-010-0695-0,https://dx.doi.org/10.1007/s10895-010-0695-0,yes,2011,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s10915-013-9695-y,https://dx.doi.org/10.1007/s10915-013-9695-y,yes,2013,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s10915-014-9823-3,https://dx.doi.org/10.1007/s10915-014-9823-3,yes,2014,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s10928-013-9318-0,https://dx.doi.org/10.1007/s10928-013-9318-0,yes,2013,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s10967-006-0162-1,https://dx.doi.org/10.1007/s10967-006-0162-1,yes,2006,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s10967-009-0365-3,https://dx.doi.org/10.1007/s10967-009-0365-3,yes,2010,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s11010-014-2183-3,https://dx.doi.org/10.1007/s11010-014-2183-3,yes,2014,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/S11021-005-0027-6,https://dx.doi.org/10.1007/S11021-005-0027-6,yes,2005,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s11069-011-9866-9,https://dx.doi.org/10.1007/s11069-011-9866-9,yes,2011,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s11095-008-9632-1,https://dx.doi.org/10.1007/s11095-008-9632-1,yes,2008,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s11095-014-1519-8,https://dx.doi.org/10.1007/s11095-014-1519-8,yes,2015,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s11097-008-9099-x,https://dx.doi.org/10.1007/s11097-008-9099-x,yes,2008,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s11104-015-2474-9,https://dx.doi.org/10.1007/s11104-015-2474-9,yes,2015,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s11116-013-9462-9,https://dx.doi.org/10.1007/s11116-013-9462-9,yes,2015,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s11136-004-4599-9,https://dx.doi.org/10.1007/s11136-004-4599-9,yes,2005,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s11136-004-7713-0,https://dx.doi.org/10.1007/s11136-004-7713-0,yes,2005,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s11136-010-9661-1,https://dx.doi.org/10.1007/s11136-010-9661-1,yes,2010,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s11162-015-9380-0,https://dx.doi.org/10.1007/s11162-015-9380-0,yes,2016,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s11242-015-0547-0,https://dx.doi.org/10.1007/s11242-015-0547-0,free from publisher,2015,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s11244-015-0449-y,https://dx.doi.org/10.1007/s11244-015-0449-y,yes,2015,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s11270-015-2309-6,https://dx.doi.org/10.1007/s11270-015-2309-6,yes,2015,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s11274-005-4561-1,https://dx.doi.org/10.1007/s11274-005-4561-1,yes,2006,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s11367-016-1038-4,https://dx.doi.org/10.1007/s11367-016-1038-4,yes,2016,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s11414-008-9160-0,https://dx.doi.org/10.1007/s11414-008-9160-0,yes,2009,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s11427-015-4892-6,https://dx.doi.org/10.1007/s11427-015-4892-6,free from publisher,2015,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s11552-013-9547-0,https://dx.doi.org/10.1007/s11552-013-9547-0,yes,2014,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s11562-007-0009-8,https://dx.doi.org/10.1007/s11562-007-0009-8,yes,2007,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s11569-009-0077-8,https://dx.doi.org/10.1007/s11569-009-0077-8,free from publisher,2009,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s11589-002-0093-z,https://dx.doi.org/10.1007/s11589-002-0093-z,yes,2002,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s11626-014-9780-z,https://dx.doi.org/10.1007/s11626-014-9780-z,yes,2014,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s11695-015-1949-3,https://dx.doi.org/10.1007/s11695-015-1949-3,yes,2015,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s11704-014-3141-7,https://dx.doi.org/10.1007/s11704-014-3141-7,yes,2014,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s11836-011-0172-4,https://dx.doi.org/10.1007/s11836-011-0172-4,yes,2011,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s11892-004-0048-y,https://dx.doi.org/10.1007/s11892-004-0048-y,yes,2004,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s11910-010-0145-z,https://dx.doi.org/10.1007/s11910-010-0145-z,yes,2010,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s11920-015-0585-x,https://dx.doi.org/10.1007/s11920-015-0585-x,yes,2015,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s11948-014-9521-4,https://dx.doi.org/10.1007/s11948-014-9521-4,yes,2015,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s12010-015-1555-9,https://dx.doi.org/10.1007/s12010-015-1555-9,yes,2015,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s12030-005-0051-7,https://dx.doi.org/10.1007/s12030-005-0051-7,no,2005,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s12119-000-1025-5,https://dx.doi.org/10.1007/s12119-000-1025-5,yes,2000,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s12119-000-1027-3,https://dx.doi.org/10.1007/s12119-000-1027-3,yes,2000,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s12119-000-1029-1,https://dx.doi.org/10.1007/s12119-000-1029-1,yes,2000,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s12119-001-1012-5,https://dx.doi.org/10.1007/s12119-001-1012-5,yes,2001,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s12119-005-1007-8,https://dx.doi.org/10.1007/s12119-005-1007-8,yes,2005,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s12208-012-0085-1,https://dx.doi.org/10.1007/s12208-012-0085-1,yes,2013,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s12210-010-0101-5,https://dx.doi.org/10.1007/s12210-010-0101-5,yes,2010,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s12250-014-3426-x,https://dx.doi.org/10.1007/s12250-014-3426-x,yes,2014,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s12459-010-0092-4,https://dx.doi.org/10.1007/s12459-010-0092-4,yes,2010,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s12471-015-0798-y,https://dx.doi.org/10.1007/s12471-015-0798-y,free from publisher,2016,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s12520-012-0101-8,https://dx.doi.org/10.1007/s12520-012-0101-8,yes,2012,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s12555-011-0094-6,https://dx.doi.org/10.1007/s12555-011-0094-6,yes,2014,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s12598-010-0133-0,https://dx.doi.org/10.1007/s12598-010-0133-0,yes,2010,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s12598-015-0620-4,https://dx.doi.org/10.1007/s12598-015-0620-4,yes,2016,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s12613-014-0906-9,https://dx.doi.org/10.1007/s12613-014-0906-9,yes,2014,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s12665-010-0779-9,https://dx.doi.org/10.1007/s12665-010-0779-9,yes,2011,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s12671-013-0234-6,https://dx.doi.org/10.1007/s12671-013-0234-6,yes,2015,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s13164-012-0088-1,https://dx.doi.org/10.1007/s13164-012-0088-1,yes,2012,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s13213-010-0117-1,https://dx.doi.org/10.1007/s13213-010-0117-1,yes,2010,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s13347-013-0142-7,https://dx.doi.org/10.1007/s13347-013-0142-7,yes,2014,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s13349-015-0137-4,https://dx.doi.org/10.1007/s13349-015-0137-4,yes,2015,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s13361-014-0874-3,https://dx.doi.org/10.1007/s13361-014-0874-3,yes,2014,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s15010-010-0045-9,https://dx.doi.org/10.1007/s15010-010-0045-9,yes,2010,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s40257-013-0011-2,https://dx.doi.org/10.1007/s40257-013-0011-2,no,2013,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s40263-016-0317-8,https://dx.doi.org/10.1007/s40263-016-0317-8,yes,2016,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s40264-015-0297-5,https://dx.doi.org/10.1007/s40264-015-0297-5,yes,2015,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s40273-015-0347-y,https://dx.doi.org/10.1007/s40273-015-0347-y,yes,2016,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s40276-013-0002-6,https://dx.doi.org/10.1007/s40276-013-0002-6,no,2013,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s40279-014-0148-z,https://dx.doi.org/10.1007/s40279-014-0148-z,free from publisher,2014,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s40319-014-0161-7,https://dx.doi.org/10.1007/s40319-014-0161-7,yes,2014,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s40333-014-0063-z,https://dx.doi.org/10.1007/s40333-014-0063-z,yes,2014,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s40501-015-0039-4,https://dx.doi.org/10.1007/s40501-015-0039-4,free from publisher,2015,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1007/s40520-015-0509-y,https://dx.doi.org/10.1007/s40520-015-0509-y,yes,2015,Springer,10.1007,Springer-Verlag,,,,,,,,
10.1016/0003-4916(59)90003-X,https://dx.doi.org/10.1016/0003-4916(59)90003-X,yes,1959,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0003-4916(59)90051-X,https://dx.doi.org/10.1016/0003-4916(59)90051-X,yes,1959,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0003-9861(77)90499-4,https://dx.doi.org/10.1016/0003-9861(77)90499-4,yes,1977,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0005-7967(95)00008-L,https://dx.doi.org/10.1016/0005-7967(95)00008-L,yes,1995,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0006-3002(57)90343-8,https://dx.doi.org/10.1016/0006-3002(57)90343-8,yes,1957,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0006-8993(90)90171-7,https://dx.doi.org/10.1016/0006-8993(90)90171-7,yes,1990,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0010-4485(93)90002-6,https://dx.doi.org/10.1016/0010-4485(93)90002-6,yes,1993,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0010-938X(91)90043-O,https://dx.doi.org/10.1016/0010-938X(91)90043-O,yes,1991,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0014-4886(86)90125-1,https://dx.doi.org/10.1016/0014-4886(86)90125-1,yes,1986,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0014-5793(93)80438-Z,https://dx.doi.org/10.1016/0014-5793(93)80438-Z,free from publisher,1993,Wiley,10.1016,Elsevier,,,,,,,,
10.1016/0016-6995(90)80006-2,https://dx.doi.org/10.1016/0016-6995(90)80006-2,yes,1990,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0016-7037(92)90199-S,https://dx.doi.org/10.1016/0016-7037(92)90199-S,yes,1992,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0016-7185(92)90037-5,https://dx.doi.org/10.1016/0016-7185(92)90037-5,yes,1992,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0017-9310(95)00189-1,https://dx.doi.org/10.1016/0017-9310(95)00189-1,yes,1996,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0022-1902(81)80282-5,https://dx.doi.org/10.1016/0022-1902(81)80282-5,yes,1981,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0022-2313(82)90028-X,https://dx.doi.org/10.1016/0022-2313(82)90028-X,yes,1982,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0022-2313(82)90029-1,https://dx.doi.org/10.1016/0022-2313(82)90029-1,yes,1982,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0022-3468(93)90667-A,https://dx.doi.org/10.1016/0022-3468(93)90667-A,yes,1993,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0022-3697(89)90403-4,https://dx.doi.org/10.1016/0022-3697(89)90403-4,yes,1989,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0022-5088(90)90347-M,https://dx.doi.org/10.1016/0022-5088(90)90347-M,yes,1990,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0022-5096(92)90020-3,https://dx.doi.org/10.1016/0022-5096(92)90020-3,yes,1992,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0024-6301(88)90035-0,https://dx.doi.org/10.1016/0024-6301(88)90035-0,yes,1988,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0024-6301(92)90009-q,https://dx.doi.org/10.1016/0024-6301(92)90009-q,yes,1992,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0025-3227(85)90013-1,https://dx.doi.org/10.1016/0025-3227(85)90013-1,yes,1985,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0026-2714(74)90083-3,https://dx.doi.org/10.1016/0026-2714(74)90083-3,yes,1974,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0033-0655(84)80011-4,https://dx.doi.org/10.1016/0033-0655(84)80011-4,yes,1984,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0034-5687(67)90054-0,https://dx.doi.org/10.1016/0034-5687(67)90054-0,yes,1967,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0034-5687(68)90004-2,https://dx.doi.org/10.1016/0034-5687(68)90004-2,yes,1968,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0035-9203(82)90121-3,https://dx.doi.org/10.1016/0035-9203(82)90121-3,no,1982,Oxford University Press,10.1016,Elsevier,,,,,,,,
10.1016/0038-1098(77)90101-6,https://dx.doi.org/10.1016/0038-1098(77)90101-6,yes,1977,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0042-6822(91)90994-M,https://dx.doi.org/10.1016/0042-6822(91)90994-M,yes,1991,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0079-1946(79)90120-4,https://dx.doi.org/10.1016/0079-1946(79)90120-4,yes,1979,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0090-2616(80)90013-3,https://dx.doi.org/10.1016/0090-2616(80)90013-3,yes,1980,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0090-2616(84)90030-5,https://dx.doi.org/10.1016/0090-2616(84)90030-5,yes,1984,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0091-3057(74)90147-6,https://dx.doi.org/10.1016/0091-3057(74)90147-6,yes,1974,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0142-9612(91)90037-B,https://dx.doi.org/10.1016/0142-9612(91)90037-B,yes,1991,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0142-9612(95)96875-Z,https://dx.doi.org/10.1016/0142-9612(95)96875-Z,yes,1995,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0146-6380(88)90105-2,https://dx.doi.org/10.1016/0146-6380(88)90105-2,yes,1988,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0148-2963(91)90045-Y,https://dx.doi.org/10.1016/0148-2963(91)90045-Y,yes,1991,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0160-7383(95)00026-0,https://dx.doi.org/10.1016/0160-7383(95)00026-0,yes,1995,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0165-0173(94)90010-8,https://dx.doi.org/10.1016/0165-0173(94)90010-8,yes,1994,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0165-4101(93)90007-3,https://dx.doi.org/10.1016/0165-4101(93)90007-3,yes,1993,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0167-5877(92)90037-g,https://dx.doi.org/10.1016/0167-5877(92)90037-g,yes,1992,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0167-6423(87)90035-9,https://dx.doi.org/10.1016/0167-6423(87)90035-9,free from publisher,1987,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0167-7799(94)90100-7,https://dx.doi.org/10.1016/0167-7799(94)90100-7,yes,1994,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0167-8396(87)90001-x,https://dx.doi.org/10.1016/0167-8396(87)90001-x,yes,1987,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0168-3659(95)00007-U,https://dx.doi.org/10.1016/0168-3659(95)00007-U,yes,1995,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0169-4332(89)90015-9,https://dx.doi.org/10.1016/0169-4332(89)90015-9,yes,1989,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0190-9622(95)90437-9,https://dx.doi.org/10.1016/0190-9622(95)90437-9,yes,1995,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0301-9322(96)00004-3,https://dx.doi.org/10.1016/0301-9322(96)00004-3,yes,1996,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0304-3959(87)91032-3,https://dx.doi.org/10.1016/0304-3959(87)91032-3,yes,1987,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0304-4076(94)01604-X,https://dx.doi.org/10.1016/0304-4076(94)01604-X,yes,1994,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0304-4076(95)01772-0,https://dx.doi.org/10.1016/0304-4076(95)01772-0,yes,1995,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0304-4203(93)90248-M,https://dx.doi.org/10.1016/0304-4203(93)90248-M,yes,1993,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0304-4238(86)90086-5,https://dx.doi.org/10.1016/0304-4238(86)90086-5,yes,1986,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0370-1573(86)90167-5,https://dx.doi.org/10.1016/0370-1573(86)90167-5,yes,1986,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0370-2693(79)90678-6,https://dx.doi.org/10.1016/0370-2693(79)90678-6,yes,1979,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0370-2693(81)90488-3,https://dx.doi.org/10.1016/0370-2693(81)90488-3,yes,1981,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0370-2693(85)90391-0,https://dx.doi.org/10.1016/0370-2693(85)90391-0,yes,1985,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0370-2693(86)91575-3,https://dx.doi.org/10.1016/0370-2693(86)91575-3,yes,1986,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0370-2693(89)90813-7,https://dx.doi.org/10.1016/0370-2693(89)90813-7,yes,1989,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0375-9601(78)90822-8,https://dx.doi.org/10.1016/0375-9601(78)90822-8,yes,1978,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0378-1119(92)90454-W,https://dx.doi.org/10.1016/0378-1119(92)90454-W,yes,1992,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0378-4371(89)90518-9,https://dx.doi.org/10.1016/0378-4371(89)90518-9,yes,1989,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0393-0440(86)90011-2,https://dx.doi.org/10.1016/0393-0440(86)90011-2,yes,1986,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0550-3213(80)90418-6,https://dx.doi.org/10.1016/0550-3213(80)90418-6,yes,1980,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0550-3213(89)90513-0,https://dx.doi.org/10.1016/0550-3213(89)90513-0,yes,1989,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0741-5214(86)90378-2,https://dx.doi.org/10.1016/0741-5214(86)90378-2,no,1986,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0886-1633(93)90033-L,https://dx.doi.org/10.1016/0886-1633(93)90033-L,yes,1993,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0886-1633(94)90023-X,https://dx.doi.org/10.1016/0886-1633(94)90023-X,yes,1994,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0923-1137(95)00004-3,https://dx.doi.org/10.1016/0923-1137(95)00004-3,yes,1995,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/0927-7757(93)80273-H,https://dx.doi.org/10.1016/0927-7757(93)80273-H,yes,1993,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/B978-008044381-2.50010-2,https://dx.doi.org/10.1016/B978-008044381-2.50010-2,no,2005,Elsevier,10.1016,Elsevier,,,,,,,,
10.1016/B978-0-08-096527-7.00018-0,https://dx.doi.org/10.1016/B978-0-08-096527-7.00018-0,no,2014,Elsevier,10.1016,Elsevier,,,,,,,,
